,Title,Description,Company,Location,Actively_Hiring,ListDate,DaysAgo,Link,Latest,Scraped
87,Ingénieur Full Stack/Ingénieure Full Stack,"Entreprise :
HPS est un leader mondialement reconnu dans l’édition des solutions de paiement électronique dédiées aux institutions financières.

Grâce à sa plateforme globale utilisée par plus de 350 émetteurs, acquéreurs et switches nationaux, nous traitons tous types de cartes (crédit, débit, prépayées, fidélité, entreprise, carburant ...) via tous types de canaux (GAB, TPE Internet et mobile).",HPS,"Casablanca-Settat, Morocco",Yes,1 day ago,1.0,https://ma.linkedin.com/jobs/view/ing%C3%A9nieur-full-stack-ing%C3%A9nieure-full-stack-at-hps-3789408483?refId=PZg2iExorw0FQMmmqLrxrg%3D%3D&trackingId=4rh3mvPWC9zsawueFf5m%2Bw%3D%3D&position=13&pageNum=3&trk=public_jobs_jserp-result_search-card,1,2023-12-23
185,Développeur Senior full stack,"- Analyser et développer les composants en utilisant les langages appropriés,
- Participer à la structuration des bases de données,
- Définir et développer les protocoles et les scenarios de tests (tests unitaires, test de non régression et tests de charge),",Telco DEV,"Fez, Fès-Meknès, Morocco",Yes,1 day ago,1.0,https://ma.linkedin.com/jobs/view/d%C3%A9veloppeur-senior-full-stack-at-telco-dev-3764211024?refId=BXgqCJirAP1xCnHqv%2Fjo1w%3D%3D&trackingId=QqoMPlkzEsbT27b1Z7sb8Q%3D%3D&position=12&pageNum=7&trk=public_jobs_jserp-result_search-card,1,2023-12-23
154,Data Engineer,"Who are we ?

Artefact is a new generation of a data service provider, specialising in data consulting and data-driven information system, dedicated to transforming data into business impact across the entire value chain of organisations. We are proud to say we’re enjoying skyrocketing growth.

Our broad range of data-driven solutions in data consulting and information system are designed to meet our clients’ specific needs, always conceived with a business-centric approach and delivered with tangible results. Our data-driven services are built upon the deep AI expertise we’ve acquired with our 1000+ client base around the globe.

We have 1000 employees across 20 offices who are focused on accelerating digital transformation. Thanks to a unique mix of company assets: State of the art data technologies, lean AI agile methodologies for fast delivery, and cohesive teams of the finest business consultants, data analysts, data scientists, data engineers, and digital experts, all dedicated to bringing extra value to every client.

To support and develop its growth, Artefact is looking for the next talents of the data division to join the engineering team. Organized in feature team, you will work in project mode (ou pizza team) to advise your clients on their IA problematics, machine learning and Big Data. The projects you will work on can go from the migration of infrastructure to the Cloud (Deezer) to the construction of a predictive model of the water rises (Greenpeace).",Artefact,"Casablanca, Casablanca-Settat, Morocco",Yes,1 day ago,1.0,https://ma.linkedin.com/jobs/view/data-engineer-at-artefact-3761574281?refId=L29NqyAoCNvcD5enqyjVPg%3D%3D&trackingId=WRjc3QeE7bf6Sbzm8cZQwQ%3D%3D&position=6&pageNum=6&trk=public_jobs_jserp-result_search-card,1,2023-12-23
191,Développeur Senior Full Stack (DevOps) JAVA/Angular,"Responsabilités Principales

Analyser et comprendre les spécifications fonctionnelles.
Participer à la conception, développement et déploiement des architectures d'applications Web en utilisant Java.",Astek Morocco,Rabat Metropolitan Area,Yes,1 day ago,1.0,https://ma.linkedin.com/jobs/view/d%C3%A9veloppeur-senior-full-stack-devops-java-angular-at-astek-morocco-3785673233?refId=BXgqCJirAP1xCnHqv%2Fjo1w%3D%3D&trackingId=mBfSrShexlp2%2FXTipvLxCw%3D%3D&position=18&pageNum=7&trk=public_jobs_jserp-result_search-card,1,2023-12-23
138,Développeur Windev F/H,,VISEO,Morocco,Yes,1 day ago,1.0,https://ma.linkedin.com/jobs/view/d%C3%A9veloppeur-windev-f-h-at-viseo-3769522886?refId=RCJB3gyiZqafHXLg16esQw%3D%3D&trackingId=DfMiZ2htBduUu%2FOF%2ByRiog%3D%3D&position=15&pageNum=5&trk=public_jobs_jserp-result_search-card,1,2023-12-23
100,CASA - IT / Unix systems Engineer (F/H),"As part of DTIT (Digital Transformation & Information Technology) organization, Windows and storage systems engineer :

Manages his/her assigned infrastructure components, ensuring continuous support & service delivery in line with the agreed Operational Level Objectives",STMicroelectronics,"Prefecture of Casablanca, Casablanca-Settat, Morocco",Yes,1 day ago,1.0,https://ma.linkedin.com/jobs/view/casa-it-unix-systems-engineer-f-h-at-stmicroelectronics-3786185538?refId=MPXEVUZgP0n1B1UJcfwYwg%3D%3D&trackingId=Z9JgaMeHOj9vMyIJsH%2F3yA%3D%3D&position=2&pageNum=4&trk=public_jobs_jserp-result_search-card,1,2023-12-23
96,INGENIEUR CONCEPTION & DEVELOPPEMENT JAVA/JEE,"RIBATIS , Opérateur de la transformation digitale dans le domaine du #eGOV, cherche à #Recruter un #INGENIEUR #CONCEPTION & #DEVELOPPEMENT #JEE



Pour toute personne intéressée, prière de nous adresser vos candidatures sur rh@ribatis.com en précisant au niveau de lobjet de lémail loffre pour laquelle vous postulez.

#Hiring #Ingenieur_Conception_Developpement #Ingenieurconceptiondeveloppement #ICD #JAVA #Front_End #Back_End #IT

Profil",RIBATIS,"Mechouar, Casablanca-Settat, Morocco",No,1 day ago,1.0,https://ma.linkedin.com/jobs/view/ingenieur-conception-developpement-java-jee-at-ribatis-3791429894?refId=PZg2iExorw0FQMmmqLrxrg%3D%3D&trackingId=GRY6hDBgGHaI%2BtiD4KZxCw%3D%3D&position=22&pageNum=3&trk=public_jobs_jserp-result_search-card,1,2023-12-23
225,ST Bouskoura – Ingénieur IT / Infrastructure Operations Management F/H,"Missions:

Part of Digital Transformation & Information Technology organization, Infrastructure Operations Domain Manager is :
Accountable for the Infrastructure Domain in scope and end-to-end delivery within defined constraints and objectives",STMicroelectronics,"Prefecture of Casablanca, Casablanca-Settat, Morocco",Yes,1 day ago,1.0,https://ma.linkedin.com/jobs/view/st-bouskoura-%E2%80%93-ing%C3%A9nieur-it-infrastructure-operations-management-f-h-at-stmicroelectronics-3786187387?refId=hktsH6qXRGndRKFGPE4Axw%3D%3D&trackingId=uJPNgNshkpLTCAL2VoxtLA%3D%3D&position=2&pageNum=9&trk=public_jobs_jserp-result_search-card,1,2023-12-23
70,Software Specialist Engineer,"Would you like to make a difference to the environment? Do you want to work for a global and ethical company? Join us and help us provide energy-efficient solutions that make a real impact. We make what matters work. To find out more about us check: youtube.com/watch?v=JzZfovyFZcY



The primary function is to provide advanced technical support and troubleshooting assistance to end-users customers and internal partners, acting as a primary point of contact on several channels: telephone, e-mail, web ticket, etc. for electrical product portfolio, in specific devices for EATON Electrical division.

Responsible for interfacing with end customers, but also wholesalers and distributors, panel builders, designers, logistics, quality department, product management, R&D, manufacturing and/or sales or service representative when necessary to handle a variety of pre-sales or post-sales functions. The Senior Technical Support Engineer act as a fist point of escalation for not-standard inquiries and advanced troubleshooting on hardware / software cases and is able to provide training on products and processes to team members, end-users, customers, colleagues from the same or different department. Participate in strategical decisions about process improvements, tools deployment and contribute to increase the customer satisfaction and the technical knowledge within the team. Provides individual contribution in process documentation and knowledge sharing sessions.














We are committed to ensuring equal employment opportunities for job applicants and employees. Our recruitment processes use balanced selection criteria and avoid unlawful discrimination against applicants on the basis of their age, colour, disability, marital status, national origin, gender, gender identity, genetic information, race or racial origin, religion, sexual orientation or any other status protected or required by law.

]]>",Eaton,"Casablanca, Casablanca-Settat, Morocco",Yes,1 day ago,1.0,https://ma.linkedin.com/jobs/view/software-specialist-engineer-at-eaton-3776207995?refId=2eY%2BA3f2K%2FFRapp6aHK%2B8w%3D%3D&trackingId=7T1wylJpGdlTIloHg90Fog%3D%3D&position=21&pageNum=2&trk=public_jobs_jserp-result_search-card,1,2023-12-23
246,Développeur WordPress,"Propos De Nous :
Dar Digital où l'innovation rencontre l'émotion. Nous sculptons des expériences digitales mémorables, tissant des liens uniques entre les marques et leur public.
Avec une équipe créative et stratégique, nous redéfinissons le marketing en créant des campagnes qui inspirent et génèrent des résultats tangibles. Osez repousser les limites avec , où chaque projet devient une aventure digitale inoubliable. Transformons ensemble vos idées en une présence en ligne exceptionnelle.",DAR DIGITAL,"Agadir, Souss-Massa, Morocco",No,1 day ago,1.0,https://ma.linkedin.com/jobs/view/d%C3%A9veloppeur-wordpress-at-dar-digital-3791288487?refId=hktsH6qXRGndRKFGPE4Axw%3D%3D&trackingId=iLq9aHbw44MTQ9Fc9P6CpA%3D%3D&position=23&pageNum=9&trk=public_jobs_jserp-result_search-card,1,2023-12-23
